2019-05-19 21:22:47 INFO  RoomWorker:32 - Toy{id=6, name=Optional[Doll], size=Optional[big], price=9}{dollType=Optional[BOY]} 
2019-05-19 21:22:47 INFO  RoomWorker:32 - Toy{id=3, name=Optional[Car], size=Optional[big], price=11}{carType=CAR} 
2019-05-19 21:22:47 INFO  RoomWorker:35 - ----------------------------
2019-05-19 21:26:09 INFO  Logic:20 - Room is prepering.
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 7, name = Cube, size = small, price = 1}{color = BLUE}
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 8, name = Cube, size = small, price = 1}{color = GREEN}
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 4, name = Doll, size = small, price = 5}{dollType = GIRL} 
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 1, name = Car, size = small, price = 7}{carType = CAR} 
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 5, name = Doll, size = middle, price = 7}{dollType = BOY} 
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 2, name = Car, size = middle, price = 9}{carType = BUS} 
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 6, name = Doll, size = big, price = 9}{dollType = BABY} 
2019-05-19 21:26:09 INFO  RoomWorker:32 - Toy{id = 3, name = Car, size = big, price = 11}{carType = VAN} 
2019-05-19 21:26:09 INFO  RoomWorker:35 - ----------------------------
2019-05-19 21:29:02 INFO  Logic:20 - Room is prepering.
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 10, name = Cube, size = small, price = 1}{color = RED}
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 13, name = Cube, size = small, price = 1}{color = BLUE}
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 11, name = Cube, size = middle, price = 2}{color = GREEN}
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 14, name = Cube, size = middle, price = 2}{color = YELLOW}
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 12, name = Cube, size = big, price = 3}{color = GREEN}
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 7, name = Ball, size = small, price = 4}{color = GREEN} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 4, name = Doll, size = small, price = 5}{dollType = GIRL} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 8, name = Ball, size = middle, price = 6}{color = RED} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 1, name = Car, size = small, price = 7}{carType = CAR} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 5, name = Doll, size = middle, price = 7}{dollType = BABY} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 9, name = Ball, size = big, price = 8}{color = RED} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 2, name = Car, size = middle, price = 9}{carType = TRUCK} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 6, name = Doll, size = big, price = 9}{dollType = BOY} 
2019-05-19 21:29:02 INFO  RoomWorker:32 - Toy{id = 3, name = Car, size = big, price = 11}{carType = VAN} 
2019-05-19 21:29:02 INFO  RoomWorker:35 - ----------------------------
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 7, name = Ball, size = small, price = 4}{color = GREEN} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 8, name = Ball, size = middle, price = 6}{color = RED} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 9, name = Ball, size = big, price = 8}{color = RED} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 1, name = Car, size = small, price = 7}{carType = CAR} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 2, name = Car, size = middle, price = 9}{carType = TRUCK} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 3, name = Car, size = big, price = 11}{carType = VAN} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 10, name = Cube, size = small, price = 1}{color = RED}
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 13, name = Cube, size = small, price = 1}{color = BLUE}
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 11, name = Cube, size = middle, price = 2}{color = GREEN}
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 14, name = Cube, size = middle, price = 2}{color = YELLOW}
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 12, name = Cube, size = big, price = 3}{color = GREEN}
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 4, name = Doll, size = small, price = 5}{dollType = GIRL} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 5, name = Doll, size = middle, price = 7}{dollType = BABY} 
2019-05-19 21:29:03 INFO  RoomWorker:32 - Toy{id = 6, name = Doll, size = big, price = 9}{dollType = BOY} 
2019-05-19 21:29:03 INFO  RoomWorker:35 - ----------------------------
2019-05-19 21:29:54 INFO  Logic:20 - Room is prepering.
2019-05-19 21:29:54 INFO  RoomWorker:32 - Toy{id = 10, name = Cube, size = small, price = 1}{color = RED}
2019-05-19 21:29:54 INFO  RoomWorker:32 - Toy{id = 13, name = Cube, size = small, price = 1}{color = YELLOW}
